5/22/20,3000,3009,3017,3018,3025,3031,3034,3037
5/23/20,3004,3015,3017,3025,3028,3033,3037,3040
5/24/20,3009,3017,3018,3025,3031,3034,3037,3040
5/25/20,3015,3017,3025,3028,3033,3037,3040,3042
5/26/20,3017,3018,3025,3031,3034,3037,3040,3045
5/27/20,3017,3025,3028,3033,3037,3040,3042,3054
5/28/20,3018,3025,3031,3034,3037,3040,3045,3065
5/29/20,3025,3028,3033,3037,3040,3042,3054,3076
5/30/20,3025,3031,3034,3037,3040,3045,3065,3077
5/31/20,3028,3033,3037,3040,3042,3054,3076,3081
6/1/2020,3031,3034,3037,3040,3045,3065,3077,3082
6/2/2020,3033,3037,3040,3042,3054,3076,3081,3083
6/3/2020,3034,3037,3040,3045,3065,3077,3082,3084
6/4/2020,3037,3040,3042,3054,3076,3081,3083,3101
6/5/2020,3037,3040,3045,3065,3077,3082,3084,3102
6/6/2020,3040,3042,3054,3076,3081,3083,3101,3104
6/7/2020,3040,3045,3065,3077,3082,3084,3102,3112
6/8/2020,3042,3054,3076,3081,3083,3101,3104,3119
6/9/2020,3045,3065,3077,3082,3084,3102,3112,3121
6/10/2020,3054,3076,3081,3083,3101,3104,3119,3125
6/11/2020,3065,3077,3082,3084,3102,3112,3121,3125
6/12/2020,3076,3081,3083,3101,3104,3119,3125,3129
6/13/20,3077,3082,3084,3102,3112,3121,3125,3134
6/14/20,3081,3083,3101,3104,3119,3125,3129,3135
6/15/20,3082,3084,3102,3112,3121,3125,3134,3135
6/16/20,3083,3101,3104,3119,3125,3129,3135,3135
6/17/20,3084,3102,3112,3121,3125,3134,3135,3135
6/18/20,3101,3104,3119,3125,3129,3135,3135,3141
6/19/20,3102,3112,3121,3125,3134,3135,3135,3146
6/20/20,3104,3119,3125,3129,3135,3135,3141,3147
6/21/20,3112,3121,3125,3134,3135,3135,3146,3148
6/22/20,3119,3125,3129,3135,3135,3141,3147,3151
6/23/20,3121,3125,3134,3135,3135,3146,3148,3156
6/24/20,3125,3129,3135,3135,3141,3147,3151,3157
6/25/20,3125,3134,3135,3135,3146,3148,3156,3158
6/26/20,3129,3135,3135,3141,3147,3151,3157,3162
6/27/20,3134,3135,3135,3146,3148,3156,3158,3162
6/28/20,3135,3135,3141,3147,3151,3157,3162,3162
6/29/20,3135,3135,3146,3148,3156,3158,3162,3169
6/30/20,3135,3141,3147,3151,3157,3162,3162,3171
7/1/2020,3135,3146,3148,3156,3158,3162,3169,3173
7/2/2020,3141,3147,3151,3157,3162,3162,3171,3179
7/3/2020,3146,3148,3156,3158,3162,3169,3173,3180
7/4/2020,3147,3151,3157,3162,3162,3171,3179,3185
7/5/2020,3148,3156,3158,3162,3169,3173,3180,3190
7/6/2020,3151,3157,3162,3162,3171,3179,3185,3195
7/7/2020,3156,3158,3162,3169,3173,3180,3190,3195
7/8/2020,3157,3162,3162,3171,3179,3185,3195,3197
7/9/2020,3158,3162,3169,3173,3180,3190,3195,3202
7/10/2020,3162,3162,3171,3179,3185,3195,3197,3202
7/11/2020,3162,3169,3173,3180,3190,3195,3202,3216
7/12/2020,3162,3171,3179,3185,3195,3197,3202,3217
7/13/20,3169,3173,3180,3190,3195,3202,3216,3220
7/14/20,3171,3179,3185,3195,3197,3202,3217,3227
7/15/20,3173,3180,3190,3195,3202,3216,3220,3232
7/16/20,3179,3185,3195,3197,3202,3217,3227,3236
7/17/20,3180,3190,3195,3202,3216,3220,3232,3239
7/18/20,3185,3195,3197,3202,3217,3227,3236,3246
7/19/20,3190,3195,3202,3216,3220,3232,3239,3249
7/20/20,3195,3197,3202,3217,3227,3236,3246,3250
7/21/20,3195,3202,3216,3220,3232,3239,3249,3255
7/22/20,3197,3202,3217,3227,3236,3246,3250,3257
7/23/20,3202,3216,3220,3232,3239,3249,3255,3269
7/24/20,3202,3217,3227,3236,3246,3250,3257,3279
7/25/20,3216,3220,3232,3239,3249,3255,3269,3282
7/26/20,3217,3227,3236,3246,3250,3257,3279,3291
7/27/20,3220,3232,3239,3249,3255,3269,3282,3295
7/28/20,3227,3236,3246,3250,3257,3279,3291,3297
7/29/20,3232,3239,3249,3255,3269,3282,3295,3298
7/30/20,3236,3246,3250,3257,3279,3291,3297,3304
7/31/20,3239,3249,3255,3269,3282,3295,3298,3310
8/1/2020,3246,3250,3257,3279,3291,3297,3304,3312
8/2/2020,3249,3255,3269,3282,3295,3298,3310,3317
8/3/2020,3250,3257,3279,3291,3297,3304,3312,3320
8/4/2020,3255,3269,3282,3295,3298,3310,3317,3321
8/5/2020,3257,3279,3291,3297,3304,3312,3320,3328
8/6/2020,3269,3282,3295,3298,3310,3317,3321,3330
8/7/2020,3279,3291,3297,3304,3312,3320,3328,3345
8/8/2020,3282,3295,3298,3310,3317,3321,3330,3348
8/9/2020,3291,3297,3304,3312,3320,3328,3345,3351
8/10/2020,3295,3298,3310,3317,3321,3330,3348,3351
8/11/2020,3297,3304,3312,3320,3328,3345,3351,3351
8/12/2020,3298,3310,3317,3321,3330,3348,3351,3356
8/13/20,3304,3312,3320,3328,3345,3351,3351,3359
8/14/20,3310,3317,3321,3330,3348,3351,3356,3376
8/15/20,3312,3320,3328,3345,3351,3351,3359,3376
8/16/20,3317,3321,3330,3348,3351,3356,3376,3377
8/17/20,3320,3328,3345,3351,3351,3359,3376,3378
8/18/20,3321,3330,3348,3351,3356,3376,3377,3381
8/19/20,3328,3345,3351,3351,3359,3376,3378,3382
8/20/20,3330,3348,3351,3356,3376,3377,3381,3389
8/21/20,3345,3351,3351,3359,3376,3378,3382,3390
8/22/20,3348,3351,3356,3376,3377,3381,3389,3390
8/23/20,3351,3351,3359,3376,3378,3382,3390,3395
8/24/20,3351,3356,3376,3377,3381,3389,3390,3397
8/25/20,3351,3359,3376,3378,3382,3390,3395,3402
8/26/20,3356,3376,3377,3381,3389,3390,3397,3403
8/27/20,3359,3376,3378,3382,3390,3395,3402,3404
8/28/20,3376,3377,3381,3389,3390,3397,3403,3410
8/29/20,3376,3378,3382,3390,3395,3402,3404,3411
8/30/20,3377,3381,3389,3390,3397,3403,3410,3411
8/31/20,3378,3382,3390,3395,3402,3404,3411,3412
9/1/2020,3381,3389,3390,3397,3403,3410,3411,3417
9/2/2020,3382,3390,3395,3402,3404,3411,3412,3425
9/3/2020,3389,3390,3397,3403,3410,3411,3417,3427
9/4/2020,3390,3395,3402,3404,3411,3412,3425,3431
9/5/2020,3390,3397,3403,3410,3411,3417,3427,3438
9/6/2020,3395,3402,3404,3411,3412,3425,3431,3444
9/7/2020,3397,3403,3410,3411,3417,3427,3438,3445
9/8/2020,3402,3404,3411,3412,3425,3431,3444,3446
9/9/2020,3403,3410,3411,3417,3427,3438,3445,3447
9/10/2020,3404,3411,3412,3425,3431,3444,3446,3454
9/11/2020,3410,3411,3417,3427,3438,3445,3447,3461
9/12/2020,3411,3412,3425,3431,3444,3446,3454,3466
9/13/20,3411,3417,3427,3438,3445,3447,3461,3473
9/14/20,3412,3425,3431,3444,3446,3454,3466,3475
9/15/20,3417,3427,3438,3445,3447,3461,3473,3480
9/16/20,3425,3431,3444,3446,3454,3466,3475,3490
9/17/20,3427,3438,3445,3447,3461,3473,3480,3490
9/18/20,3431,3444,3446,3454,3466,3475,3490,3497
9/19/20,3438,3445,3447,3461,3473,3480,3490,3500
9/20/20,3444,3446,3454,3466,3475,3490,3497,3506
9/21/20,3445,3447,3461,3473,3480,3490,3500,3506
9/22/20,3446,3454,3466,3475,3490,3497,3506,3511
9/23/20,3447,3461,3473,3480,3490,3500,3506,3514
9/24/20,3454,3466,3475,3490,3497,3506,3511,3516
9/25/20,3461,3473,3480,3490,3500,3506,3514,3519
9/26/20,3466,3475,3490,3497,3506,3511,3516,3522
